Query Time,Frame Start Time,Frame End Time,Image Acquisition Time,Blank1,L1 Rad Created,L1 Rad Available,L1 Availablity Time,Blank2,L2 ABI-L2-MCMIPC Created,L2 ABI-L2-MCMIPC Available,L2 ABI-L2-FDCC Created,L2 ABI-L2-FDCC Available,L2 ABI-L2-ACMC Created,L2 ABI-L2-ACMC Available,L1 Rad Downloaded,L2 ABI-L2-FDCC Downloaded,Total Time
2022-08-01 07:38:14.772838+00:00,2022-08-01 07:41:17.300000+00:00,2022-08-01 07:43:55.049999872+00:00,157,,2022-08-01 07:44:00.700000+00:00,2022-08-01 07:44:27.657268+00:00,32,,2022-08-01 07:44:06.600000+00:00,2022-08-01 07:44:31.283806+00:00,2022-08-01 07:44:17.600000+00:00,2022-08-01 07:44:32.591600+00:00,2022-08-01 07:45:15.600000+00:00,2022-08-01 07:45:32.771251+00:00,2022-08-01 07:45:34.946539+00:00,2022-08-01 07:45:35.486117+00:00,100
2022-08-01 07:45:35.493459+00:00,2022-08-01 07:46:17.300000+00:00,2022-08-01 07:48:55.050000128+00:00,157,,2022-08-01 07:49:01.400000+00:00,2022-08-01 07:49:26.490894+00:00,31,,2022-08-01 07:49:05.400000+00:00,2022-08-01 07:49:30.153352+00:00,2022-08-01 07:49:17.600000+00:00,2022-08-01 07:49:30.293901+00:00,2022-08-01 07:50:02.500000+00:00,2022-08-01 07:50:13.615185+00:00,2022-08-01 07:50:15.744939+00:00,2022-08-01 07:50:16.278593+00:00,81
2022-08-01 07:50:16.286605+00:00,2022-08-01 07:51:17.300000+00:00,2022-08-01 07:53:55.049999872+00:00,157,,2022-08-01 07:54:02+00:00,2022-08-01 07:54:31.479139+00:00,36,,2022-08-01 07:54:04.800000+00:00,2022-08-01 07:54:31.546164+00:00,2022-08-01 07:54:17.600000+00:00,2022-08-01 07:54:31.675878+00:00,2022-08-01 07:55:11.800000+00:00,2022-08-01 07:55:33.152940+00:00,2022-08-01 07:55:35.301015+00:00,2022-08-01 07:55:35.831502+00:00,100
2022-08-01 07:55:35.838278+00:00,2022-08-01 07:56:17.300000+00:00,2022-08-01 07:58:55.056249856+00:00,157,,2022-08-01 07:59:02.300000+00:00,2022-08-01 07:59:26.368315+00:00,31,,2022-08-01 07:59:04.800000+00:00,2022-08-01 07:59:30.963168+00:00,2022-08-01 07:59:17.300000+00:00,2022-08-01 07:59:29.801103+00:00,2022-08-01 08:00:06.100000+00:00,2022-08-01 08:00:13.152327+00:00,2022-08-01 08:00:15.430907+00:00,2022-08-01 08:00:16.099072+00:00,81
2022-08-01 08:04:05.338984+00:00,2022-08-01 08:06:17.300000+00:00,2022-08-01 08:08:55.043749888+00:00,157,,2022-08-01 08:09:02+00:00,2022-08-01 08:09:28.909653+00:00,33,,2022-08-01 08:09:05.700000+00:00,2022-08-01 08:09:30.169767+00:00,2022-08-01 08:09:20.400000+00:00,2022-08-01 08:09:30.300718+00:00,2022-08-01 08:10:12.900000+00:00,2022-08-01 08:10:30.298463+00:00,2022-08-01 08:10:32.412197+00:00,2022-08-01 08:10:32.956669+00:00,97
2022-08-01 08:10:32.964127+00:00,2022-08-01 08:11:17.300000+00:00,2022-08-01 08:13:55.043749888+00:00,157,,2022-08-01 08:14:00.500000+00:00,2022-08-01 08:14:25.714694+00:00,30,,2022-08-01 08:14:05.200000+00:00,2022-08-01 08:14:29.355227+00:00,2022-08-01 08:14:18.300000+00:00,2022-08-01 08:14:28.289157+00:00,2022-08-01 08:15:17.200000+00:00,2022-08-01 08:15:27.196337+00:00,2022-08-01 08:15:29.298711+00:00,2022-08-01 08:15:29.829994+00:00,94
2022-08-01 08:15:29.837999+00:00,2022-08-01 08:16:17.300000+00:00,2022-08-01 08:18:55.056249856+00:00,157,,2022-08-01 08:19:00.200000+00:00,2022-08-01 08:19:22.151443+00:00,27,,2022-08-01 08:19:04.900000+00:00,2022-08-01 08:19:24.624543+00:00,2022-08-01 08:19:18+00:00,2022-08-01 08:19:27.141626+00:00,2022-08-01 08:20:05.300000+00:00,2022-08-01 08:20:30.602556+00:00,2022-08-01 08:20:32.765472+00:00,2022-08-01 08:20:33.290440+00:00,98
2022-08-01 08:20:33.298024+00:00,2022-08-01 08:21:17.300000+00:00,2022-08-01 08:23:55.062500096+00:00,157,,2022-08-01 08:24:00.900000+00:00,2022-08-01 08:24:23.863959+00:00,28,,2022-08-01 08:24:05.800000+00:00,2022-08-01 08:24:28.739878+00:00,2022-08-01 08:24:18.100000+00:00,2022-08-01 08:24:28.883879+00:00,2022-08-01 08:25:14.500000+00:00,2022-08-01 08:25:27.744410+00:00,2022-08-01 08:25:29.841236+00:00,2022-08-01 08:25:30.379106+00:00,95
2022-08-01 08:25:30.387374+00:00,2022-08-01 08:26:17.300000+00:00,2022-08-01 08:28:55.049999872+00:00,157,,2022-08-01 08:29:01.100000+00:00,2022-08-01 08:29:24.886205+00:00,29,,2022-08-01 08:29:05.100000+00:00,2022-08-01 08:29:28.679726+00:00,2022-08-01 08:29:17+00:00,2022-08-01 08:29:26.425579+00:00,2022-08-01 08:30:06.200000+00:00,2022-08-01 08:30:28.965972+00:00,2022-08-01 08:30:31.142988+00:00,2022-08-01 08:30:31.690506+00:00,96
2022-08-01 08:30:31.699868+00:00,2022-08-01 08:31:17.300000+00:00,2022-08-01 08:33:55.043749888+00:00,157,,2022-08-01 08:34:01.900000+00:00,2022-08-01 08:34:21.109681+00:00,26,,2022-08-01 08:34:05+00:00,2022-08-01 08:34:25.953388+00:00,2022-08-01 08:34:19.700000+00:00,2022-08-01 08:34:28.615258+00:00,2022-08-01 08:35:04.200000+00:00,2022-08-01 08:35:26.054574+00:00,2022-08-01 08:35:28.218855+00:00,2022-08-01 08:35:28.919285+00:00,93
